,Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
151,France,Female,YES,NO,149892.79,YES
152,Spain,Male,YES,NO,180800.42,NO
153,France,Male,YES,NO,98646.22,NO
154,France,Female,YES,YES,109041.53,NO
155,Spain,Male,YES,NO,17941.16,YES
156,France,Female,NO,NO,82996.47,NO
157,Spain,Female,YES,YES,92067.35,NO
158,France,Female,NO,YES,104719.66,NO
159,Germany,Female,NO,NO,112687.57,NO
160,Spain,Female,NO,YES,84699.56,NO
161,France,Male,YES,NO,83473.82,NO
162,France,Female,NO,NO,47125.11,NO
163,Spain,Female,YES,YES,106977.8,NO
164,Spain,Male,YES,NO,55582.54,YES
165,Germany,Male,YES,YES,139874.43,NO
166,Germany,Female,YES,NO,162503.48,YES
167,Spain,Female,YES,NO,196499.96,NO
168,Spain,Female,YES,NO,40721.24,YES
169,Germany,Male,NO,NO,53134.3,NO
170,France,Female,YES,NO,164017.89,NO
171,Germany,Male,YES,NO,155996.96,NO
172,Germany,Male,YES,NO,5472.7,YES
173,France,Male,YES,NO,112187.11,NO
174,France,Male,YES,YES,146457.83,NO
175,Spain,Female,YES,YES,27286.1,NO
176,France,Female,YES,YES,130553.47,NO
177,Germany,Male,NO,NO,179351.89,NO
178,Spain,Female,NO,YES,94774.12,NO
179,Germany,Female,YES,NO,8080.85,YES
180,Spain,Female,YES,YES,19482.5,NO
181,France,Male,YES,YES,48071.61,NO
182,Germany,Female,YES,NO,174531.27,NO
183,France,Male,YES,YES,55470.78,NO
184,France,Female,YES,YES,8546.87,YES
185,France,Male,YES,NO,95857.18,NO
186,France,Female,YES,NO,194945.8,NO
187,Spain,Female,NO,YES,131521.72,NO
188,Spain,Male,NO,YES,196108.51,NO
189,Germany,Female,YES,NO,148564.76,NO
190,France,Female,NO,NO,92982.61,YES
191,France,Female,YES,NO,17675.36,NO
192,France,Male,NO,NO,114996.43,NO
193,France,Male,YES,NO,86957.42,NO
194,Spain,Male,YES,NO,128077.8,NO
195,France,Male,YES,YES,600.36,NO
196,Spain,Female,YES,YES,43001.46,NO
197,Germany,Male,YES,YES,158591.12,NO
198,France,Male,YES,YES,47847.19,NO
199,France,Male,YES,NO,10488.44,NO
200,Spain,Male,YES,YES,5978.2,NO
201,France,Male,NO,YES,121409.06,NO
202,Spain,Male,NO,YES,146145.93,YES
203,France,Female,YES,YES,14374.86,YES
204,Spain,Male,YES,NO,94670.77,NO
205,France,Male,YES,YES,179670.31,NO
206,Spain,Female,NO,NO,199304.74,YES
207,France,Male,YES,YES,151954.39,NO
208,France,Male,YES,NO,142513.5,YES
209,France,Male,NO,YES,158264.62,NO
210,Germany,Male,YES,NO,169381.9,NO
211,France,Male,YES,YES,169915.02,NO
212,France,Female,NO,NO,88852.47,NO
213,France,Female,YES,YES,40645.81,NO
214,Germany,Male,NO,NO,60427.3,NO
215,Germany,Male,NO,YES,157959.02,YES
216,France,Male,YES,NO,133007.34,NO
217,Spain,Female,NO,NO,176576.62,NO
218,France,Male,YES,NO,34888.04,YES
219,France,Male,YES,YES,28737.71,YES
220,France,Female,YES,YES,98178.57,NO
221,Spain,Male,NO,YES,125010.24,NO
222,France,Male,YES,YES,167984.61,NO
223,France,Male,YES,NO,4861.72,YES
224,Germany,Male,YES,YES,108872.45,YES
225,France,Male,YES,NO,198252.88,NO
226,France,Female,YES,YES,26960.31,NO
227,Germany,Female,YES,YES,85746.52,YES
228,Germany,Male,YES,NO,77206.25,YES
229,Germany,Female,YES,NO,61048.53,NO
230,France,Male,NO,YES,111981.19,NO
231,France,Male,YES,NO,62232.6,NO
232,France,Female,NO,YES,156105.03,NO
233,Germany,Male,NO,YES,150135.38,NO
234,France,Female,NO,YES,93146.11,NO
235,Germany,Male,YES,NO,33462.94,YES
236,France,Female,YES,YES,144375.0,NO
237,Germany,Female,YES,NO,55803.96,YES
238,France,Female,YES,NO,89048.46,YES
239,France,Male,NO,YES,162812.16,NO
240,Spain,Male,YES,NO,136259.65,NO
241,Germany,Female,YES,NO,124052.97,NO
242,France,Male,NO,YES,74158.8,NO
243,Germany,Male,YES,YES,45071.09,YES
244,Spain,Male,YES,NO,62030.06,NO
245,France,Female,YES,NO,131953.23,YES
246,Germany,Male,YES,NO,79414.0,NO
247,France,Female,YES,YES,199638.56,NO
248,Germany,Male,YES,YES,157577.29,NO
249,Germany,Male,YES,NO,134420.75,YES
250,Germany,Female,NO,NO,99805.99,NO
251,Spain,Female,YES,YES,97932.68,NO
252,France,Female,NO,YES,170968.99,NO
253,Germany,Male,YES,YES,57558.95,NO
254,Spain,Male,NO,NO,176713.47,NO
255,Spain,Male,NO,YES,34283.23,NO
256,France,Male,YES,YES,198637.34,NO
257,Germany,Female,NO,NO,156917.12,NO
258,France,Female,YES,YES,50457.2,NO
259,Germany,Male,YES,YES,140075.55,NO
260,Germany,Male,YES,YES,65323.11,NO
261,Spain,Female,YES,NO,64323.24,NO
262,France,Female,YES,NO,14956.44,NO
263,France,Female,NO,YES,111879.21,NO
264,Spain,Male,YES,YES,18606.23,NO
265,Spain,Female,YES,NO,123137.01,NO
266,France,Male,YES,YES,148528.24,NO
267,France,Male,YES,NO,13898.31,NO
268,Spain,Female,NO,NO,81259.25,YES
269,Germany,Female,YES,NO,161051.75,NO
270,Spain,Male,NO,YES,191599.67,NO
271,Germany,Male,YES,NO,48559.19,YES
272,Germany,Female,YES,YES,186339.74,NO
273,France,Male,YES,NO,33159.37,NO
274,Germany,Male,NO,YES,93883.53,NO
275,Spain,Female,YES,YES,110899.3,NO
276,France,Male,YES,YES,11199.04,YES
277,France,Female,YES,NO,189992.97,NO
278,France,Male,NO,YES,164255.69,NO
279,France,Male,YES,NO,152167.79,YES
280,France,Male,YES,YES,33949.67,NO
281,Spain,Male,YES,YES,68143.93,NO
282,Germany,Male,YES,YES,47251.79,YES
283,France,Male,YES,YES,25885.72,NO
284,France,Female,NO,YES,192633.85,NO
285,France,Male,YES,NO,34577.36,NO
286,Spain,Male,YES,NO,161229.84,NO
287,France,Female,YES,NO,100816.29,NO
288,Spain,Female,YES,YES,181694.44,NO
289,Spain,Male,YES,NO,79078.91,NO
290,Germany,Male,NO,YES,137316.32,NO
291,Spain,Female,YES,NO,194926.86,NO
292,France,Male,YES,NO,51285.49,NO
293,Spain,Female,NO,NO,150401.53,YES
294,France,Male,YES,YES,112491.96,NO
295,France,Male,YES,NO,73656.38,NO
296,France,Female,YES,YES,106636.89,NO
297,Spain,Female,YES,NO,155853.52,YES
298,France,Male,YES,YES,162599.51,NO
299,France,Male,YES,YES,103737.82,NO
300,France,Female,YES,NO,160990.27,NO
301,Spain,Female,NO,NO,15462.84,NO
302,France,Male,YES,NO,10334.05,NO
303,France,Female,YES,YES,190686.16,NO
304,France,Male,NO,NO,94440.45,NO
305,France,Male,YES,YES,28257.63,NO
306,France,Male,YES,YES,170034.95,YES
307,Germany,Male,YES,NO,31824.29,NO
308,France,Male,YES,NO,127166.49,YES
309,Germany,Male,YES,NO,44937.01,NO
310,France,Female,YES,YES,188603.07,NO
311,Germany,Male,YES,NO,145111.37,NO
312,France,Male,NO,NO,171463.83,NO
313,Germany,Female,YES,NO,182822.5,NO
314,Spain,Male,YES,YES,87213.33,NO
315,Spain,Male,NO,NO,57175.32,NO
316,France,Male,YES,NO,120540.83,YES
317,Spain,Male,YES,YES,28714.34,NO
318,Spain,Female,YES,NO,85426.28,NO
319,France,Male,YES,NO,46170.75,NO
320,Spain,Female,YES,YES,64448.36,NO
321,France,Female,YES,YES,16278.97,NO
322,France,Male,YES,NO,182855.42,YES
323,France,Female,NO,NO,50404.72,NO
324,France,Male,YES,NO,107640.25,NO
325,France,Male,YES,NO,134132.65,NO
326,France,Male,YES,NO,103480.69,NO
327,France,Female,YES,NO,108761.05,YES
328,Germany,Male,YES,YES,179012.3,NO
329,Germany,Male,YES,YES,95145.14,NO
330,France,Male,NO,YES,72143.44,NO
331,Spain,Female,YES,NO,19162.89,NO
332,Germany,Male,NO,YES,144680.18,NO
333,Germany,Female,YES,NO,177772.03,YES
334,Spain,Female,YES,NO,5597.94,NO
335,France,Male,YES,NO,116828.51,YES
336,Germany,Female,NO,YES,174652.51,NO
337,France,Male,YES,NO,2010.98,NO
338,Spain,Female,YES,NO,14109.85,YES
339,Germany,Female,YES,NO,43527.4,YES
340,Germany,Female,NO,YES,86099.23,YES
341,France,Male,NO,NO,161574.19,NO
342,Spain,Female,YES,YES,38970.14,NO
343,France,Male,NO,NO,127587.22,NO
344,France,Female,YES,NO,30380.12,NO
345,France,Female,YES,NO,90908.95,NO
346,Germany,Female,YES,NO,138275.01,NO
347,Germany,Male,YES,YES,32171.79,NO
348,Germany,Female,YES,YES,126143.23,NO
349,France,Male,YES,YES,129892.93,NO
350,Spain,Male,YES,YES,102416.84,NO
351,Spain,Male,YES,YES,18719.67,NO
352,Spain,Female,YES,NO,61936.22,NO
353,Spain,Male,YES,YES,78358.94,NO
354,France,Female,YES,YES,147224.27,NO
355,France,Male,YES,NO,160979.66,NO
356,Spain,Female,YES,YES,132298.49,NO
357,Spain,Male,YES,NO,174248.52,YES
358,France,Male,YES,YES,123547.28,NO
359,France,Male,NO,YES,32790.02,NO
360,Spain,Male,NO,YES,181543.67,NO
361,Germany,Female,NO,YES,2319.96,YES
362,France,Female,YES,YES,189543.19,NO
363,Germany,Female,YES,NO,10940.4,NO
364,France,Male,YES,YES,199493.38,NO
365,Spain,Female,YES,YES,188193.25,NO
366,Germany,Female,YES,NO,172572.64,NO
367,Germany,Female,YES,YES,189339.6,NO
368,Germany,Male,NO,YES,53512.16,NO
369,France,Female,YES,NO,34004.44,NO
370,Spain,Male,YES,YES,10598.29,NO
371,Germany,Female,NO,YES,113428.77,NO
372,Germany,Male,YES,YES,183487.98,NO
373,Germany,Male,YES,YES,187658.09,NO
374,Germany,Male,YES,YES,172459.39,NO
375,France,Female,NO,YES,21016.0,NO
376,Germany,Male,YES,YES,122381.02,YES
377,Spain,Male,YES,NO,128123.66,NO
378,Spain,Female,YES,NO,19570.63,NO
379,Spain,Female,NO,NO,188150.6,YES
380,France,Female,YES,YES,111020.24,NO
381,France,Male,YES,NO,123775.15,NO
382,Germany,Female,NO,YES,146700.22,NO
383,Germany,Male,YES,NO,145251.35,NO
384,Germany,Male,YES,NO,82463.69,NO
385,France,Female,YES,YES,15928.49,NO
386,Spain,Male,YES,NO,45886.33,NO
387,Spain,Male,YES,YES,186489.95,NO
388,Spain,Female,NO,YES,162922.65,NO
389,France,Female,YES,NO,9262.77,NO
390,Germany,Female,YES,YES,84932.4,NO
391,Germany,Male,YES,YES,71557.12,NO
392,Spain,Male,YES,NO,77405.95,YES
393,Spain,Male,NO,NO,417.41,YES
394,Spain,Female,YES,YES,71405.17,NO
395,Germany,Female,NO,YES,153400.24,NO
396,France,Male,YES,YES,371.05,NO
397,Germany,Male,YES,NO,67789.99,NO
398,France,Female,NO,YES,145894.9,NO
399,France,Female,YES,NO,183840.51,YES
400,France,Male,YES,NO,108887.44,NO
401,Germany,Female,YES,YES,154071.27,NO
402,Spain,Male,NO,YES,179291.85,NO
403,Spain,Male,NO,YES,56937.43,NO
404,France,Male,YES,YES,112239.03,NO
405,France,Male,YES,NO,45909.87,NO
406,Spain,Female,NO,NO,173779.25,YES
407,Spain,Female,YES,NO,125696.26,NO
408,Germany,Male,YES,YES,159585.61,NO
409,Germany,Female,YES,NO,106761.47,NO
410,Spain,Male,NO,NO,129590.18,NO
411,France,Male,YES,YES,80006.65,NO
412,Spain,Female,YES,YES,140451.52,NO
413,Germany,Female,YES,YES,187929.43,YES
414,Spain,Male,YES,NO,167155.36,NO
415,Spain,Male,NO,NO,191420.71,NO
416,Germany,Female,NO,NO,11384.45,YES
417,France,Female,YES,YES,94898.1,NO
418,France,Female,NO,NO,106781.59,NO
419,France,Female,NO,NO,159508.52,NO
420,Germany,Female,YES,NO,93524.19,YES
421,France,Female,YES,NO,87168.46,NO
422,Germany,Male,YES,NO,8128.32,YES
423,France,Female,YES,NO,125518.32,NO
424,France,Male,YES,NO,48963.59,NO
425,France,Male,YES,NO,98368.24,NO
426,Germany,Male,YES,NO,148584.61,NO
427,France,Male,YES,YES,27474.81,NO
428,Germany,Female,YES,NO,76192.21,NO
429,Germany,Male,NO,NO,134600.94,YES
430,Germany,Male,YES,YES,72467.99,YES
431,Germany,Male,NO,YES,199645.45,NO
432,Germany,Female,YES,NO,42749.85,NO
433,Germany,Female,YES,NO,136050.44,YES
434,France,Male,NO,NO,73564.44,NO
435,France,Female,NO,YES,85578.63,NO
436,Germany,Female,YES,NO,129826.89,NO
437,France,Male,NO,NO,119666.0,NO
438,France,Female,YES,NO,68052.08,NO
439,Germany,Female,YES,YES,164104.74,NO
440,France,Female,NO,NO,80190.36,NO
441,France,Female,YES,NO,84126.75,NO
442,France,Female,YES,YES,70179.0,NO
443,France,Male,YES,YES,118024.1,NO
444,Spain,Male,NO,NO,145704.19,YES
445,France,Female,NO,YES,183049.41,NO
446,France,Male,NO,NO,120906.83,NO
447,France,Male,YES,YES,100433.83,NO
448,France,Female,NO,NO,138777.0,YES
449,Spain,Female,YES,NO,124694.99,NO
450,Germany,Female,YES,NO,40084.32,NO
451,France,Male,NO,YES,119232.33,NO
452,Spain,Male,NO,NO,43921.36,NO
453,Spain,Female,YES,NO,62222.81,NO
454,France,Female,NO,YES,56577.0,NO
455,France,Male,YES,NO,164253.35,NO
456,France,Male,YES,YES,7666.73,NO
457,France,Male,YES,NO,68487.51,NO
458,Germany,Male,NO,YES,199273.98,YES
459,Spain,Male,YES,YES,186062.36,NO
460,Germany,Male,YES,YES,195711.16,NO
461,France,Male,YES,NO,36692.17,NO
462,Spain,Female,YES,NO,106920.57,NO
463,France,Female,YES,YES,48725.68,YES
464,Spain,Male,YES,YES,167036.94,NO
465,France,Male,YES,NO,68777.26,NO
466,Spain,Female,YES,YES,18924.92,NO
467,Germany,Female,YES,NO,71905.77,YES
468,France,Male,YES,NO,64833.28,NO
469,France,Male,YES,YES,184843.77,NO
470,Spain,Male,YES,YES,176730.02,NO
471,France,Male,YES,NO,20629.4,YES
472,France,Male,YES,NO,28415.36,NO
473,France,Male,YES,NO,77231.27,NO
474,France,Female,YES,NO,102750.7,NO
475,Germany,Male,NO,NO,34580.8,YES
476,Germany,Female,YES,YES,183598.77,NO
477,France,Female,YES,NO,147358.27,NO
478,France,Male,YES,YES,108469.2,NO
479,France,Male,YES,YES,20612.82,NO
480,Spain,Male,NO,YES,181196.76,NO
481,France,Female,YES,NO,160249.1,NO
482,France,Male,NO,NO,110783.28,NO
483,Germany,Male,YES,NO,144995.33,NO
484,Spain,Male,YES,NO,150227.85,YES
485,France,Female,YES,YES,53718.28,NO
486,France,Male,YES,NO,75248.3,NO
487,France,Male,YES,YES,14353.43,YES
488,France,Male,NO,YES,130486.57,NO
489,Germany,Female,YES,YES,100127.71,NO
490,Spain,Male,YES,YES,196356.17,NO
491,France,Female,YES,YES,9983.88,NO
492,France,Female,NO,YES,118974.77,NO
493,France,Female,NO,NO,194998.34,YES
494,France,Female,NO,NO,134901.34,YES
495,Germany,Male,YES,YES,72924.56,NO
496,France,Female,YES,NO,101057.95,NO
497,France,Male,YES,YES,142838.64,NO
498,Germany,Male,YES,YES,127059.04,NO
499,France,Female,NO,YES,116503.92,YES
500,Spain,Male,YES,YES,54405.79,NO
501,France,Male,YES,YES,88721.84,NO
502,France,Male,YES,NO,74135.48,YES
503,Spain,Male,YES,YES,111346.22,NO
504,Spain,Female,NO,NO,194902.16,NO
505,France,Male,YES,NO,31474.27,NO
506,Germany,Male,YES,NO,21198.39,NO
507,Germany,Female,YES,NO,186976.6,NO
508,France,Male,YES,YES,117202.19,NO
509,Spain,Female,YES,YES,143739.29,NO
510,Germany,Female,YES,YES,161811.23,NO
511,Germany,Female,YES,NO,98090.91,NO
512,Spain,Male,NO,NO,71095.41,NO
513,France,Male,YES,YES,13107.24,NO
514,France,Female,YES,YES,67110.59,YES
515,Spain,Male,YES,NO,88225.02,NO
516,France,Female,NO,YES,62256.87,YES
517,Germany,Male,YES,NO,135925.72,NO
518,France,Male,NO,YES,177815.87,YES
519,France,Male,NO,YES,126471.13,NO
520,France,Female,YES,NO,188574.12,YES
521,France,Male,YES,YES,119175.45,NO
522,Spain,Male,YES,YES,139093.73,NO
523,Germany,Male,YES,YES,115916.55,NO
524,France,Male,NO,NO,96463.25,NO
525,France,Female,YES,YES,112349.51,NO
526,France,Male,YES,YES,165303.79,NO
527,France,Male,YES,NO,166031.08,NO
528,Germany,Female,YES,NO,38411.79,YES
529,France,Male,YES,YES,77783.35,NO
530,Spain,Female,YES,YES,29871.79,NO
531,Spain,Female,NO,YES,59747.63,NO
532,France,Male,YES,YES,79919.13,NO
533,Spain,Male,YES,NO,76773.53,NO
534,France,Female,YES,NO,54018.93,NO
535,France,Male,YES,NO,70649.64,YES
536,Germany,Male,YES,NO,59093.39,NO
537,Spain,Male,YES,NO,127569.8,NO
538,Germany,Female,NO,YES,18260.98,YES
539,Germany,Female,YES,NO,73275.96,YES
540,France,Male,YES,YES,136129.49,NO
541,France,Male,YES,YES,153237.59,NO
542,France,Female,YES,YES,106841.12,NO
543,Spain,Male,YES,NO,109078.35,YES
544,France,Female,NO,YES,87822.14,YES
545,Spain,Female,YES,NO,126644.98,NO
546,France,Male,YES,NO,47414.15,NO
547,Germany,Female,YES,NO,41879.99,NO
548,France,Male,YES,YES,75808.1,NO
549,France,Male,YES,YES,47911.03,NO
550,Germany,Female,YES,NO,28737.78,NO
551,Germany,Male,YES,YES,2079.2,YES
552,Spain,Female,YES,NO,121562.33,NO
553,France,Male,YES,NO,55003.79,NO
554,Germany,Male,YES,NO,193131.42,NO
555,Spain,Female,NO,YES,191932.27,YES
556,Germany,Male,YES,NO,159418.1,NO
557,Germany,Male,YES,NO,191468.78,YES
558,Spain,Male,YES,YES,38913.68,NO
559,Spain,Female,YES,YES,705.18,NO
560,Germany,Female,NO,YES,138490.03,NO
561,Spain,Male,NO,YES,82970.69,NO
562,Spain,Male,YES,YES,76744.72,NO
563,France,Female,YES,NO,71244.59,YES
564,Spain,Female,YES,YES,12182.15,NO
565,France,Male,YES,YES,141210.5,NO
566,Spain,Female,NO,NO,191763.07,YES
567,Spain,Female,YES,YES,37938.74,NO
568,Germany,Male,YES,YES,74890.58,NO
569,France,Male,YES,YES,166698.18,NO
570,France,Male,YES,YES,62678.53,NO
571,France,Male,YES,NO,67740.08,YES
572,France,Male,YES,NO,161519.77,NO
573,Spain,Female,YES,YES,159835.78,YES
574,Spain,Male,YES,YES,30876.84,NO
575,France,Female,YES,YES,14858.1,NO
576,Spain,Female,YES,NO,75685.97,NO
577,France,Male,NO,YES,144183.1,NO
578,France,Female,YES,NO,65170.66,NO
579,France,Male,YES,YES,82526.92,NO
580,Spain,Male,YES,NO,169161.46,NO
581,Spain,Female,NO,YES,109291.39,YES
582,Spain,Female,NO,YES,6057.81,NO
583,Germany,Female,YES,NO,77077.14,NO
584,Germany,Female,NO,NO,54954.51,YES
585,France,Female,NO,NO,179614.8,YES
586,Spain,Male,YES,NO,35588.07,YES
587,France,Male,YES,YES,117356.14,NO
588,France,Male,YES,NO,160696.72,NO
589,Spain,Female,NO,NO,147278.43,YES
590,Germany,Female,YES,YES,56594.36,YES
591,France,Male,YES,NO,1299.75,NO
592,France,Female,YES,YES,25095.03,NO
593,Spain,Male,NO,NO,146326.45,NO
594,Spain,Female,NO,YES,38296.21,NO
595,Germany,Female,YES,NO,164061.6,NO
596,Spain,Male,YES,NO,107811.28,NO
597,Germany,Male,YES,YES,30838.51,NO
598,Germany,Female,NO,NO,9221.78,YES
599,Germany,Female,NO,YES,33738.27,NO
600,France,Female,NO,YES,110916.15,YES
601,Spain,Female,YES,YES,169654.57,NO
602,France,Female,NO,YES,69829.4,NO
603,France,Male,YES,NO,54926.51,YES
604,France,Male,YES,YES,94728.49,NO
605,France,Male,YES,YES,80393.27,NO
606,France,Male,NO,YES,111307.98,NO
607,France,Male,YES,NO,19834.32,NO
608,France,Male,YES,YES,78397.24,NO
609,Germany,Female,YES,NO,86410.28,NO
610,France,Male,NO,NO,172749.65,NO
611,France,Female,YES,NO,1002.39,NO
612,France,Female,YES,YES,13601.79,NO
613,Spain,Male,YES,YES,77866.91,NO
614,Germany,Male,YES,YES,175296.76,NO
615,Spain,Female,YES,NO,121751.04,YES
616,Spain,Male,YES,NO,89593.26,NO
617,Germany,Female,YES,NO,193437.89,YES
618,Spain,Male,YES,YES,86945.0,NO
619,Spain,Female,YES,YES,183318.79,NO
620,France,Male,YES,NO,71154.1,NO
621,Spain,Female,NO,YES,151887.16,NO
622,Germany,Female,YES,YES,75888.65,NO
623,Germany,Male,NO,YES,89566.74,NO
624,Spain,Female,NO,YES,26475.79,NO
625,Spain,Male,NO,NO,126355.8,NO
626,France,Male,YES,YES,93839.3,NO
627,France,Male,YES,NO,7698.6,NO
628,France,Male,YES,YES,145593.85,NO
629,Spain,Female,YES,NO,45042.56,NO
630,France,Female,YES,NO,61108.56,YES
